# Generated by Scripts/generate-dependency-inventory.ps1 from Cargo.lock, workspace manifests, and cached package manifests.
# Cargo.lock sha256: 283fe29a7f6bc24c17eb9a1faf9dd95f90c46c5253ce8036200ba9a54430f22a
package	version	source	license	role	dependency_status	default_features	native_or_runtime_requirement
aho-corasick	1.1.5	crates.io	Unlicense OR MIT	transitive support	transitive	inherited	none beyond Rust target toolchain
arrayref	0.3.9	crates.io	BSD-2-Clause	transitive support	transitive	inherited	none beyond Rust target toolchain
arrayvec	0.7.8	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
base64	0.22.1	crates.io	MIT OR Apache-2.0	canonical payload encoding	direct-required-runtime	disabled	none beyond Rust target toolchain
bindgen	0.72.1	crates.io	BSD-3-Clause	transitive support	transitive	inherited	LLVM/libclang at build time
bitflags	2.13.1	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
blake3	1.8.2	crates.io	CC0-1.0 OR Apache-2.0 OR Apache-2.0 WITH LLVM-exception	routing-bundle integrity	direct-required-runtime	enabled	portable Rust fallback; target-specific SIMD selected by build
bzip2-sys	0.1.13+1.0.8	crates.io	MIT/Apache-2.0	transitive support	transitive	inherited	bundled native compression build pulled by RocksDB
cc	1.4.3	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
cexpr	0.6.0	crates.io	Apache-2.0/MIT	transitive support	transitive	inherited	none beyond Rust target toolchain
cfg-if	1.0.4	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
clang-sys	1.9.1	crates.io	Apache-2.0	transitive support	transitive	inherited	LLVM/libclang at build time
cobs	0.3.0	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
constant_time_eq	0.3.1	crates.io	CC0-1.0 OR MIT-0 OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
crossbeam-channel	0.5.15	crates.io	MIT OR Apache-2.0	bounded partition I/O workers	direct-required-runtime	enabled	none beyond Rust target toolchain
crossbeam-utils	0.8.22	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
cudarc	0.19.8	crates.io	MIT OR Apache-2.0	optional CUDA Driver API	direct-optional-runtime	disabled	compatible NVIDIA display/compute driver when cuda is enabled
either	1.17.0	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
embedded-io	0.4.0	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
embedded-io	0.6.1	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
errno	0.3.14	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
fastrand	2.5.0	crates.io	Apache-2.0 OR MIT	transitive support	transitive	inherited	none beyond Rust target toolchain
find-msvc-tools	0.1.11	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
getrandom	0.4.3	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
glob	0.3.4	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
itertools	0.13.0	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
itoa	1.0.18	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
jobserver	0.1.35	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
libc	0.2.189	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
libloading	0.9.0	crates.io	ISC	transitive support	transitive	inherited	none beyond Rust target toolchain
librocksdb-sys	0.17.3+10.4.2	crates.io	MIT/Apache-2.0/BSD-3-Clause	transitive support	transitive	inherited	C++ compiler plus LLVM/libclang for bindgen
libz-sys	1.1.29	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
linux-raw-sys	0.12.1	crates.io	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	transitive support	transitive	inherited	none beyond Rust target toolchain
memchr	2.8.3	crates.io	Unlicense OR MIT	transitive support	transitive	inherited	none beyond Rust target toolchain
minimal-lexical	0.2.1	crates.io	MIT/Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
nom	7.1.3	crates.io	MIT	transitive support	transitive	inherited	none beyond Rust target toolchain
once_cell	1.21.4	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
pkg-config	0.3.34	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
postcard	1.1.3	crates.io	MIT OR Apache-2.0	development encoding comparison	direct-required-dev	disabled	none beyond Rust target toolchain
proc-macro2	1.0.107	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
quote	1.0.47	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
r-efi	6.0.0	crates.io	MIT OR Apache-2.0 OR LGPL-2.1-or-later	transitive support	transitive	inherited	none beyond Rust target toolchain
regex	1.13.1	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
regex-automata	0.4.18	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
regex-syntax	0.8.11	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
rocksdb	0.24.0	crates.io	Apache-2.0	durable graph store	direct-required-runtime	disabled	builds bundled RocksDB through librocksdb-sys
rustc-hash	2.1.3	crates.io	Apache-2.0 OR MIT	transitive support	transitive	inherited	none beyond Rust target toolchain
rustix	1.1.4	crates.io	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	transitive support	transitive	inherited	none beyond Rust target toolchain
serde	1.0.229	crates.io	MIT OR Apache-2.0	owned DTO serialization	direct-required-runtime	enabled	none beyond Rust target toolchain
serde_core	1.0.229	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
serde_derive	1.0.229	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
serde_json	1.0.151	crates.io	MIT OR Apache-2.0	canonical JSON boundary	direct-required-runtime	enabled	none beyond Rust target toolchain
shlex	1.3.0	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
shlex	2.0.1	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
syn	2.0.119	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
syn	3.0.3	crates.io	MIT OR Apache-2.0	transitive support	transitive	inherited	none beyond Rust target toolchain
tempfile	3.27.0	crates.io	MIT OR Apache-2.0	development and fault-test scratch directories	direct-required-dev+runtime	enabled	none beyond Rust target toolchain
